Things, The Impact, Positivity(%)
Antitrust," Its too soon to tell whether the antitrust actions will succeed in forcing changes at Google or Facebook, but they have sent a signal that there will be more scrutiny of their business practices going forward. ",5.7
Immigration," Some changes  including those that narrow the definition of a ""specialty occupation"" and that require employers to pay foreign workers more  were expected to reduce the number of approved H-1B visa petitions by one-third. Those efforts have since been halted in court. Businesses seeking these non-immigrant worker visas also saw an increase in requests to provide more evidence in their applications and a higher rate of visa denials. ",8.7
Toxic chemicals," The administrations approach paves the way for less stringent regulation of toxic chemicals. If the Biden EPA leaves the laxer evaluations intact, its subsequent regulations will not be able to limit certain ways people are exposed  meaning Americans may not get comprehensive protection. While it is likely the Biden administration will take a more holistic look at future chemicals EPA reviews, it is unclear whether it will have time to re-analyze the chemicals the Trump administration already finished reviewing.",4.6
Internet upgrade," Trump notched victories in countries like Britain and Australia, who made decisions to reject Huawei from their domestic 5G buildouts. The administration also nailed down plans to force smaller U.S. telecom carriers to rip out and replace any scattered gear from Huawei and ZTE being used in their networks. ",4.8
Farm aid," The vast majority of the aid went to traditional row crop farmers, many of whom were part of Trumps political base. Government payments are forecast to be at their highest level ever and account for nearly 40 percent net farm income this year. ",0.0
Banking," Since the passage of the legislation, large banks that lobbied for the looser restrictions have begun to merge. SunTrust and BB&T combined in 2019 to form Truist, the eighth-biggest U.S. bank at more than $504.3 billion in assets. PNC, the countrys 10th-largest lender, agreed to buy the U.S. operations of BBVA to form another mega-bank.",6.7
Social media, Pressure from Trump prompted the Federal Communications Commission to launch a controversial rulemaking process to clarify the scope of Section 230. The Justice Department unveiled its own proposal to pare it back. And congressional Republicans once wary of changing the law have rallied around Trumps efforts by introducing bills to do just that.,5.8999999999999995
Environmental impacts, New projects can be more polluting or damaging to the environment over the long term and still be approved  and community groups will have less leverage to challenge them. ,11.200000000000001
Artificial intelligence," Even as Trump disengaged from other areas of international rulemaking, his actions helped give the U.S. a global presence in the international debate over how to regulate AI. ",0.0
Housing segregation," The reduced focus on fair housing comes as the gap in homeownership rates between Black and white Americans yawns as widely as it ever has, including when housing discrimination was legal. About 70 percent of white households own their homes, compared with about 40 percent of Black households  a disparity the ongoing and lopsided economic crisis is expected to exacerbate.",5.800000000000001
Trade rules, Trump elevated concerns about Chinas trade practices and acquisition of American technology to a new level and helped usher in what many now are calling a cold war between the worlds two largest economies. He also weakened the World Trade Organization through his willingness to hamstring the groups dispute settlement system and to unilaterally impose tariffs to punish trading partners and protect domestic industries. ,6.2
Religion in schools,"Many religious education groups praised DeVos changes, which she often described as effort to expand religious liberty. Too many misinterpret the separation of church and state as an invitation for government to separate people from their faith, she said.",19.8
